transaction_id,note_id,score
TR00001003,N0401,1.0
TR00001003,N0405,0.7302209854125976
TR00001003,N0408,0.6694461413792201
TR00001004,N0403,0.8069844007492065
TR00001004,N0402,0.8050795316696167
TR00001004,N0409,0.7708647080830165
TR00001005,N0403,1.0
TR00001005,N0402,0.7866694211959838
TR00001005,N0409,0.7324001499584744
TR00001006,N0406,0.7842211723327636
TR00001006,N0402,0.7167287230491638
TR00001006,N0403,0.709250545501709
TR00001007,N0405,0.8273792743682861
TR00001007,N0408,0.7720527120998927
TR00001007,N0401,0.6970054388046265
TR00001008,N0408,0.742679579257965
TR00001008,N0411,0.6948756286076136
TR00001008,N0410,0.6584119285855974
TR00001009,N0406,0.9857173156738281
TR00001009,N0410,0.7143494265420096
TR00001009,N0403,0.707572054862976
TR00001010,N0410,0.7803788185119628
TR00001010,N0406,0.7051039593560354
TR00001010,N0409,0.697695881979806
TR00001011,N0408,1.0
TR00001011,N0405,0.7928330370358058
TR00001011,N0411,0.6818709203175136
TR00001012,N0409,0.8289479732513427
TR00001012,N0402,0.7914356061390467
TR00001012,N0403,0.7757411071232386
TR00001013,N0410,0.7964169263839721
TR00001013,N0401,0.697818870771499
TR00001013,N0403,0.6773676690601168
TR00001014,N0403,0.7022845983505248
TR00001014,N0402,0.6937748432159423
TR00001014,N0411,0.6784333382334028
TR00001015,N0410,0.9884893250465393
TR00001015,N0411,0.8246238320214409
TR00001015,N0406,0.7229523079735892
TR00001016,N0411,1.0
TR00001016,N0408,0.6840591737202235
TR00001016,N0405,0.6327945130211966
TR00001017,N0412,0.9867925596237183
TR00001017,N0420,0.681498350415911
TR00001017,N0475,0.5710933208465576
TR00001018,N0413,0.8611038208007813
TR00001018,N0449,0.644290524437314
TR00001018,N0481,0.5695420980453492
TR00001019,N0448,0.5718291759490967
TR00001019,N0478,0.44720871448516847
TR00001019,N0457,0.42496242046356203
TR00001020,N0416,0.47677460568291796
TR00001020,N0469,0.4472167801856995
TR00001020,N0488,0.44351164817810057
TR00001021,N0415,1.0
TR00001021,N0449,0.70915114402771
TR00001021,N0413,0.6205887453896659
TR00001022,N0418,0.6584411450794765
TR00001022,N0411,0.5628734946250915
TR00001022,N0419,0.5543536390577044
