transaction_id,date,client_id,amount_chf,original_currency,direction,type,counterparty_bank,counterparty_entity
TR00000526,2025-01-21,CL000003,7328.52,CHF,Debit,Wire Transfer,WWFVBEQK,
TR00000527,2025-01-20,CL000003,9392.07,CHF,Credit,Wire Transfer,TPAFBYY4,Prime Holdings
TR00000528,2025-01-21,CL000003,6627.75,CHF,Credit,Wire Transfer,HTOHCUEY,
TR00000529,2025-01-21,CL000003,5949.08,CHF,Debit,Cash,OQXVCUCF,
TR00000530,2025-01-24,CL000003,9085.37,CHF,Debit,Wire Transfer,SZNHLYDG,
TR00000531,2025-01-19,CL000003,5261.45,CHF,Credit,Cash,PKPMUSJT,Beta Trading
TR00000532,2025-01-21,CL000003,7577.48,CHF,Credit,Wire Transfer,ORIMVELR,Elite Partners
TR00000533,2025-01-22,CL000003,6466.27,CHF,Debit,Cash,PDDIAT62,First Wealth GmbH
TR00000534,2025-01-18,CL000003,7770.11,CHF,Debit,Wire Transfer,KRHINO1C,
TR00000535,2025-01-24,CL000003,7300.91,CHF,Credit,Cash,JKDRIR64,First Asset Holdings
TR00000536,2025-01-19,CL000003,9929.35,CHF,Debit,Wire Transfer,,Prime Group
TR00000537,2025-01-20,CL000003,9842.56,CHF,Debit,Wire Transfer,AHFTCHY6,
TR00000538,2025-01-19,CL000003,8210.56,CHF,Debit,Wire Transfer,NEXWCAKX,Global GmbH
TR00000539,2025-01-21,CL000003,5730.84,CHF,Debit,Cash,,United Financial Group
TR00000540,2025-01-23,CL000003,9850.06,CHF,Credit,Wire Transfer,PNYFNOZI,United AG
TR00000541,2024-10-20,CL000003,1944.62,CHF,Debit,Wire Transfer,OITLIR36,Beta Trading
TR00000542,2024-10-30,CL000003,3294.97,USD,Credit,Wire Transfer,SBRQAFD1,First Group
TR00000543,2024-10-27,CL000003,1798.58,JPY,Credit,Wire Transfer,NQQXMM1Q,Alpha Group
TR00000544,2024-10-13,CL000003,467.07,CHF,Debit,Wire Transfer,LIIZRUOS,Elite Wealth Trading
TR00000545,2024-10-26,CL000003,451.02,GBP,Credit,Wire Transfer,PKPMUSJT,Beta Partners
TR00000546,2024-10-29,CL000003,6656.09,EUR,Debit,Security,WWFVBEQK,International Holdings
TR00000547,2024-10-17,CL000003,800.88,CHF,Credit,Wire Transfer,NEGKVETI,Elite GmbH
TR00000548,2024-10-11,CL000003,1533.27,USD,Credit,Wire Transfer,BIBMSE7T,Prime Trading
TR00000549,2024-10-25,CL000003,232.81,USD,Debit,Wire Transfer,HYQTSODA,Premier Investments
TR00000550,2024-10-31,CL000003,1838.6,GBP,Debit,Wire Transfer,TEPTYEE3,Prime Holdings
TR00000551,2024-10-13,CL000003,1081.58,EUR,Credit,Wire Transfer,OITLIR36,International Wealth Investments
TR00000552,2024-10-16,CL000003,2386.01,USD,Debit,Security,WKQEAT75,Prime AG
TR00000553,2024-10-17,CL000003,6442.6,GBP,Debit,Security,KVHFHK2V,International AG
TR00000554,2024-10-13,CL000003,293.46,CHF,Credit,Security,ZHQKBE9T,United Trading
TR00000555,2024-10-06,CL000003,678.51,CHF,Debit,Security,HPMNLYP0,Elite Financial Corp
TR00000556,2024-10-09,CL000003,86.96,CHF,Credit,Wire Transfer,ZVWAAT0L,Alpha Wealth Holdings
TR00000557,2024-10-11,CL000003,1080.59,GBP,Credit,Wire Transfer,PTLXIRUZ,Premier Corp
TR00000558,2024-10-31,CL000003,1117.35,EUR,Debit,Wire Transfer,PDDIAT62,Elite Asset AG
TR00000559,2024-10-06,CL000003,752.2,CAD,Debit,Wire Transfer,JHSDSOBB,Omega Partners
TR00000560,2024-10-19,CL000003,421.64,USD,Debit,Wire Transfer,RMEFSEC0,United Investments
TR00000561,2024-10-16,CL000003,834.79,GBP,Credit,Cash,VOXTKPRJ,Premier Corp
TR00000562,2024-10-31,CL000003,838.03,CHF,Debit,Wire Transfer,SBRQAFD1,Beta Corp
TR00000563,2024-11-17,CL000003,1239.94,CHF,Debit,Wire Transfer,PKPMUSJT,Elite Group
TR00000564,2024-11-16,CL000003,6685.23,USD,Credit,Security,PZRADK3K,Omega AG
TR00000565,2024-11-23,CL000003,435.04,EUR,Credit,Cash,ZVWAAT0L,Omega Asset GmbH
TR00000566,2024-12-02,CL000003,807.38,USD,Credit,Wire Transfer,YCZEBE8J,United Partners
TR00000567,2024-11-24,CL000003,309.93,EUR,Debit,Cash,,
TR00000568,2024-11-29,CL000003,212.97,CHF,Credit,Wire Transfer,VKBQZWBF,United Group
TR00000569,2024-12-01,CL000003,5277.6,EUR,Debit,Wire Transfer,PKPMUSJT,Prime Trade Limited
