transaction_id,date,client_id,amount_chf,original_currency,direction,type,counterparty_bank,counterparty_entity
TR00000770,2025-06-02,CL000004,212146.69,EUR,Credit,Wire Transfer,OBYCSD1W,Omega Holdings
TR00000771,2025-06-07,CL000004,292875.26,EUR,Credit,Wire Transfer,SZNHLYDG,International Group
TR00000772,2024-10-13,CL000004,452.64,EUR,Credit,Wire Transfer,YRCXUS11,First Investments
TR00000773,2024-11-04,CL000004,2948.11,EUR,Credit,Wire Transfer,XEBLLUS3,First Financial AG
TR00000774,2024-10-16,CL000004,220.24,CHF,Credit,Wire Transfer,DKYRSG6W,Omega Wealth Limited
TR00000775,2024-11-02,CL000004,539.14,CNY,Debit,Cash,,
TR00000776,2024-11-04,CL000004,1310.28,CHF,Credit,Wire Transfer,RYDDDKDT,Beta Commerce Capital
TR00000777,2024-11-03,CL000004,414.71,EUR,Credit,Wire Transfer,WXFGATD2,Beta Partners
TR00000778,2024-11-03,CL000004,860.0,USD,Credit,Wire Transfer,JHSDSOBB,Premier Trading
TR00000779,2024-10-26,CL000004,532.51,USD,Credit,Wire Transfer,ISHGLYEG,Alpha Limited
TR00000780,2024-10-09,CL000004,140.77,EUR,Credit,Cash,ESEJFR9X,Prime Asset Limited
TR00000781,2024-10-11,CL000004,414.49,CHF,Debit,Cash,,
TR00000782,2024-10-19,CL000004,971.25,CHF,Debit,Wire Transfer,JHSDSOBB,Omega Corp
TR00000783,2024-10-15,CL000004,2944.16,EUR,Debit,Security,PDTOCA2T,Global Trading
TR00000784,2024-10-09,CL000004,6118.59,CHF,Debit,Wire Transfer,TEPTYEE3,Beta Corp
TR00000785,2024-10-11,CL000004,148.72,USD,Debit,Security,YRCXUS11,Premier Commerce Corp
TR00000786,2024-11-03,CL000004,129.31,USD,Credit,Wire Transfer,KXLGGBIU,Elite Investments
TR00000787,2024-10-24,CL000004,1843.17,EUR,Debit,Cheque,YUHSSE02,Prime GmbH
TR00000788,2024-10-21,CL000004,1183.94,CHF,Debit,Cheque,MKRUSY04,International AG
TR00000789,2024-11-09,CL000004,1089.18,USD,Debit,Cash,,
TR00000790,2024-12-01,CL000004,5009.0,CNY,Credit,Wire Transfer,CLWESYJL,Beta Limited
TR00000791,2024-11-13,CL000004,848.14,CAD,Credit,Security,XUFUIRZQ,Beta Asset GmbH
TR00000792,2024-12-02,CL000004,422.09,GBP,Credit,Wire Transfer,XZNXSYVX,Elite Holdings
TR00000793,2024-11-27,CL000004,1691.73,EUR,Credit,Wire Transfer,WPSBFRIK,First Trading
TR00000794,2024-11-17,CL000004,142.22,USD,Credit,Security,CLLYCA5J,United Capital
TR00000795,2024-11-18,CL000004,2036.51,USD,Credit,Security,HYQTSODA,International Wealth Limited
TR00000796,2024-11-21,CL000004,1159.77,EUR,Credit,Wire Transfer,WPDZAF2M,Elite Partners
TR00000797,2024-11-27,CL000004,836.57,CHF,Debit,Security,YCZEBE8J,Omega Asset Capital
TR00000798,2024-11-07,CL000004,364.66,EUR,Credit,Wire Transfer,CHHIKPTE,United Limited
TR00000799,2024-11-29,CL000004,312.93,CHF,Debit,Cash,,
TR00000800,2024-12-03,CL000004,882.13,CHF,Credit,Wire Transfer,GGOCJP03,First GmbH
TR00000801,2024-11-25,CL000004,416.49,CHF,Credit,Security,CKAFCHSA,Alpha Partners
TR00000802,2024-11-22,CL000004,3783.94,CHF,Credit,Wire Transfer,NEGKVETI,Elite Wealth Capital
TR00000803,2024-11-22,CL000004,1443.93,EUR,Credit,Wire Transfer,TEKHDEH1,Prime Partners
TR00000804,2024-11-08,CL000004,1181.27,CHF,Debit,Wire Transfer,LJXLMMFG,Premier GmbH
TR00000805,2024-11-10,CL000004,1366.24,EUR,Debit,Wire Transfer,QFXWAUCI,Beta Limited
TR00000806,2024-11-15,CL000004,7358.38,USD,Debit,Wire Transfer,TLPJUS9E,International Asset Holdings
TR00000807,2024-11-23,CL000004,1783.06,CHF,Credit,Security,IDZEFIPZ,International Wealth Corp
TR00000808,2024-12-03,CL000004,3799.44,CHF,Debit,Security,YUHSSE02,United Financial Capital
TR00000809,2024-11-30,CL000004,708.53,JPY,Debit,Security,PATVBYU1,Alpha Trading
TR00000810,2024-11-15,CL000004,1005.88,CHF,Debit,Security,UFAFBEL5,Beta Partners
TR00000811,2024-12-14,CL000004,712.27,CHF,Debit,Wire Transfer,NQQXMM1Q,Global AG
TR00000812,2024-12-31,CL000004,1218.67,CHF,Credit,Wire Transfer,DNTELYHR,Global GmbH
TR00000813,2024-12-20,CL000004,224.91,CNY,Credit,Wire Transfer,KFKXKPVZ,Omega Group
TR00000814,2024-12-31,CL000004,9311.66,CHF,Credit,Wire Transfer,JGHPVE5U,Beta Trading
TR00000815,2024-12-30,CL000004,1140.85,CHF,Credit,Wire Transfer,ZROKRUGN,First Investments
TR00000816,2025-01-02,CL000004,702.2,EUR,Debit,Wire Transfer,ITJTYE3J,Alpha GmbH
TR00000817,2025-01-02,CL000004,1030.19,CHF,Credit,Wire Transfer,PATVBYU1,Beta Limited
TR00000818,2024-12-20,CL000004,1409.87,CNY,Credit,Cash,ENLHBY9P,Global Wealth Investments
TR00000819,2024-12-18,CL000004,1790.59,GBP,Debit,Wire Transfer,TLPJUS9E,Global Wealth GmbH
TR00000820,2024-12-18,CL000004,2539.56,USD,Credit,Security,TRHRHKWD,International Limited
TR00000821,2024-12-22,CL000004,7496.57,AUD,Debit,Cash,,
TR00000822,2024-12-18,CL000004,7734.79,USD,Credit,Cash,ISHGLYEG,United Group
TR00000823,2024-12-21,CL000004,929.85,JPY,Debit,Security,CLLYCA5J,Global Commerce Corp
TR00000824,2025-02-02,CL000004,749.57,CHF,Credit,Wire Transfer,PTLXIRUZ,Global Trade AG
TR00000825,2025-01-14,CL000004,3634.12,CHF,Credit,Cash,ZHQKBE9T,Omega Limited
TR00000826,2025-01-31,CL000004,926.04,EUR,Credit,Security,GYLWNLTB,United Trading
TR00000827,2025-01-06,CL000004,3364.58,USD,Debit,Security,ORIMVELR,Beta Limited
TR00000828,2025-01-21,CL000004,2028.26,USD,Debit,Wire Transfer,XZNXSYVX,Premier Holdings
TR00000829,2025-01-29,CL000004,671.16,EUR,Credit,Cash,VKBQZWBF,Elite Trading
TR00000830,2025-01-10,CL000004,646.42,GBP,Credit,Wire Transfer,MWXESEAO,Premier Commerce Investments
TR00000831,2025-01-12,CL000004,1478.21,CHF,Debit,Wire Transfer,IDZEFIPZ,Global Wealth Corp
TR00000832,2025-01-15,CL000004,4591.04,USD,Debit,Wire Transfer,WKQEAT75,Prime GmbH
TR00000833,2025-01-28,CL000004,7423.16,GBP,Credit,Cash,FIPFAUHC,Prime Corp
TR00000834,2025-01-04,CL000004,11958.17,CHF,Credit,Wire Transfer,HPMNLYP0,Omega AG
TR00000835,2025-01-08,CL000004,1624.43,CHF,Credit,Wire Transfer,CHHIKPTE,Alpha Group
TR00000836,2025-01-19,CL000004,432.06,AUD,Debit,Security,YRCXUS11,Global Investments
TR00000837,2025-01-20,CL000004,393.65,CHF,Credit,Wire Transfer,YGIUHKFB,Omega Commerce Corp
TR00000838,2025-01-14,CL000004,1621.94,EUR,Credit,Cheque,LZZBNOHJ,Global Trade Limited
TR00000839,2025-02-01,CL000004,3474.28,USD,Credit,Wire Transfer,OBYCSD1W,Global Capital
TR00000840,2025-01-09,CL000004,954.05,EUR,Credit,Wire Transfer,VZMKBYLD,United Group
TR00000841,2025-01-23,CL000004,529.38,USD,Credit,Wire Transfer,GSSBKPOT,First Investments
TR00000842,2025-02-05,CL000004,1397.58,EUR,Credit,Security,ILRNHK28,Elite Holdings
TR00000843,2025-02-22,CL000004,1082.81,CHF,Credit,Security,TEKHDEH1,Elite Commerce Corp
TR00000844,2025-02-14,CL000004,1703.01,USD,Debit,Wire Transfer,DXGPNOWP,Premier Group
TR00000845,2025-02-16,CL000004,767.83,EUR,Credit,Wire Transfer,PTLXIRUZ,Beta Group
TR00000846,2025-02-21,CL000004,1537.63,JPY,Credit,Security,ORIMVELR,First Trading
TR00000847,2025-02-23,CL000004,1478.17,GBP,Credit,Wire Transfer,LZZBNOHJ,Alpha Asset Group
TR00000848,2025-02-28,CL000004,286.44,GBP,Credit,Wire Transfer,PTLXIRUZ,Elite Wealth Capital
TR00000849,2025-02-22,CL000004,139.23,CHF,Debit,Wire Transfer,QFXWAUCI,Global Group
TR00000850,2025-02-23,CL000004,1304.45,EUR,Credit,Cheque,CJJIDEJB,Prime Trading
TR00000851,2025-02-10,CL000004,720.98,EUR,Debit,Security,BNWBSEC5,Alpha Financial Investments
TR00000852,2025-02-21,CL000004,348.73,GBP,Credit,Security,RVUFGBBL,Omega Capital
TR00000853,2025-02-19,CL000004,112.63,USD,Credit,Wire Transfer,TEPTYEE3,United Investments
TR00000854,2025-02-12,CL000004,5482.67,CHF,Debit,Wire Transfer,DKYRSG6W,Premier Trading
TR00000855,2025-02-17,CL000004,2924.53,EUR,Debit,Wire Transfer,HPMNLYP0,International Limited
TR00000856,2025-02-28,CL000004,388.69,CNY,Credit,Wire Transfer,OXDDIRQT,Beta Financial Limited
TR00000857,2025-02-17,CL000004,26405.73,EUR,Debit,Cash,,
TR00000858,2025-02-18,CL000004,1165.57,CHF,Credit,Security,LIIZRUOS,Premier Trading
TR00000859,2025-02-10,CL000004,391.57,GBP,Debit,Wire Transfer,TEPTYEE3,Elite Group
TR00000860,2025-02-07,CL000004,2446.99,USD,Debit,Wire Transfer,SYNMCUCB,First Limited
TR00000861,2025-02-24,CL000004,8823.05,USD,Debit,Security,ISHGLYEG,Prime Capital
TR00000862,2025-03-18,CL000004,1255.71,USD,Credit,Wire Transfer,RFDYAUUR,Global Corp
TR00000863,2025-03-27,CL000004,1000.71,AUD,Credit,Security,UFAFBEL5,Beta GmbH
TR00000864,2025-03-11,CL000004,2572.89,USD,Credit,Security,KVHFHK2V,Elite Group
TR00000865,2025-03-29,CL000004,4099.4,EUR,Credit,Wire Transfer,WGELNLPK,Prime Trade GmbH
TR00000866,2025-03-10,CL000004,454.6,USD,Credit,Security,TEPTYEE3,International Capital
