"note_id","client_id","note_text","note_date","linked_transaction_id"
"N0400","CL000005","Estate planning consultation. Client working with legal advisors on family trust structure. May impact account configuration in Q2.","2025-01-15",""
"N0401","CL000005","Client requested confirmation of incoming wire from Elite Wealth Capital for approximately CHF 8.5k. Funds credited without issues.","2025-02-12","TR00001003"
"N0402","CL000005","Telephone instruction received for outgoing cash withdrawal of approximately CHF 6.7k. Client authenticated via dual control and execution confirmed.","2025-02-06","TR00001004"
"N0403","CL000005","Confirmed receipt of incoming wire from Prime Asset Limited amounting to CHF 6.7k. Client satisfied with booking.","2025-02-06","TR00001005"
"N0404","CL000005","Client reviewed two cash credits received on the same day totalling approximately CHF 15.9k. No concerns raised during follow-up call.","2025-02-06","TR00001006|TR00001008"
"N0405","CL000005","Processing outgoing wire per client instruction. Counterparty: Unknown. Amount: CHF 6.8k. Settlement 12 Feb.","2025-02-12","TR00001007"
"N0406","CL000005","Confirmed incoming wire from Beta Group for CHF 9.2k. Source of funds reviewed and documented.","2025-02-06","TR00001009"
"N0407","CL000005","Batch payment instruction received: two outgoing payments totalling approximately CHF 17.3k. Client authorized same-day settlement.","2025-02-08","TR00001010|TR00001013"
"N0408","CL000005","Detailed review of incoming payment from Omega Holdings. Amount: approximately CHF 6.9k. Client requested written confirmation via secure message.","2025-02-11","TR00001011"
"N0409","CL000005","Cash credit of CHF 6.4k booked successfully. No follow-up required.","2025-02-07","TR00001012"
"N0410","CL000005","Client authorized outgoing wire to International Trading for approximately CHF 8.7k. Execution completed same day.","2025-02-08","TR00001015"
"N0411","CL000005","Received standing instruction for cash credit from International Trading. Amount: CHF 5.1k. Processed per mandate.","2025-02-10","TR00001016"
"N0412","CL000005","Confirmed incoming wire from Elite Trading for CHF 1.1k. Booking confirmed.","2024-10-15","TR00001017"
"N0413","CL000005","Follow-up on outgoing USD wire. Client verified the USD 980 transfer and provided final authorization.","2024-10-08","TR00001018"
"N0414","CL000005","Client discussed two small outgoing wires during October totalling approximately CHF 901. Routine operational activity.","2024-10-25","TR00001019|TR00001020"
"N0415","CL000005","Incoming GBP wire from Prime GmbH confirmed. Client requested FX rate explanation. Amount GBP 1.8k.","2024-10-06","TR00001021"
"N0416","CL000005","Annual KYC refresh completed. Updated employment details and income sources. No material changes to risk assessment.","2024-10-20",""
