"note_id","client_id","note_text","note_date","linked_transaction_id"
"N0300","CL000004","Initial discussion regarding expected significant EUR inflows during June. Client explained source of funds and overall context.","2025-05-28",""
"N0301","CL000004","Confirmed receipt of large EUR wire of approximately CHF 212k from Omega Holdings. Source of funds previously reviewed. Client satisfied with booking.","2025-06-02","TR00000770"
"N0302","CL000004","Reviewed second large EUR inflow of approximately CHF 293k from International Group. No compliance concerns identified.","2025-06-07","TR00000771"
"N0303","CL000004","Client requested consolidated overview of June inflows and liquidity impact. Discussed two major EUR wires totalling approximately CHF 505k.","2025-06-10",""
"N0304","CL000004","General relationship discussion. Client comfortable with account positioning following recent credits.","2025-06-15",""
"N0305","CL000004","Confirmed receipt of mid-sized CHF wire of approximately CHF 3.8k from Elite Wealth Capital. Routine confirmation.","2024-11-22","TR00000802"
"N0306","CL000004","Client inquiry regarding outgoing CHF wire of approximately CHF 6.1k to Beta Corp. Execution details confirmed.","2024-10-09","TR00000784"
"N0307","CL000004","Discussed security-related debit of approximately CHF 2.9k to Global Trading. Client confirmed investment rationale.","2024-10-15","TR00000783"
"N0308","CL000004","Reviewed October account activity. No discrepancies identified.","2024-10-31",""
"N0309","CL000004","Confirmed incoming CHF wire of approximately CHF 882 from First GmbH. Client acknowledged receipt.","2024-12-03","TR00000800"
"N0310","CL000004","Batch payment instruction received: two November credits from Prime Partners (EUR ~1.4k) and Elite Investments (USD ~129). Client authorized same-day settlement.","2024-11-03","TR00000803|TR00000786"
"N0311","CL000004","Annual KYC refresh completed. No material changes to risk profile.","2024-12-05",""
"N0312","CL000004","Confirmed receipt of year-end CHF wire of approximately CHF 9.3k from Beta Trading. Large amount aligned with prior discussion.","2024-12-31","TR00000814"
"N0313","CL000004","Client discussed planned cash usage around year-end. Liquidity reviewed.","2024-12-20",""
"N0314","CL000004","Telephone instruction received for early January CHF wire. Beneficiary: Omega AG. Amount: approximately CHF 12.0k. Client authenticated via dual control. Executing 4 Jan.","2025-01-04","TR00000834"
"N0315","CL000004","Follow-up on January outgoing USD wire of approximately CHF 4.6k to Prime GmbH. Client confirmed purpose and beneficiary.","2025-01-15","TR00000832"
"N0316","CL000004","Reviewed January account movements. Client comfortable with balances.","2025-01-25",""
"N0317","CL000004","Confirmed incoming CHF wire of approximately CHF 1.6k from Alpha Group. Routine confirmation.","2025-01-08","TR00000835"
"N0318","CL000004","Client requested clarification on January debit of approximately CHF 1.5k related to Global Wealth Corp. Explained and closed.","2025-01-12","TR00000831"
"N0319","CL000004","Discussed expected February debits and upcoming liquidity needs.","2025-02-01",""
"N0320","CL000004","Confirmed outgoing CHF wire of approximately CHF 5.5k to Premier Trading. Client acknowledged execution.","2025-02-12","TR00000854"
"N0321","CL000004","Reviewed February cash outflow of approximately CHF 26.4k. Client explained purpose. No concerns.","2025-02-17","TR00000857"
"N0322","CL000004","Confirmed security debit of approximately CHF 8.8k related to Prime Capital. Client comfortable with exposure.","2025-02-24","TR00000861"
"N0323","CL000004","Client requested overview of February investment-related activity.","2025-02-28",""
"N0324","CL000004","Confirmed incoming USD wire of approximately CHF 1.3k from Global Corp. Routine booking confirmation.","2025-03-18","TR00000862"
"N0325","CL000004","Reviewed March outgoing wire of approximately CHF 2.2k to Prime Capital. Client confirmed strategic rationale.","2025-03-12","TR00000872"
"N0326","CL000004","Processing incoming payment per client instruction. Counterparty: Omega Wealth Trading. Amount: approximately CHF 5.1k. Settlement 6 Mar.","2025-03-06","TR00000878"
"N0327","CL000004","Quarterly portfolio review completed. Discussed concentration and risk management.","2025-03-31",""
"N0328","CL000004","Confirmed debit of approximately CHF 6.7k related to Beta Holdings security transaction. Client acknowledged.","2025-03-24","TR00000884"
"N0329","CL000004","Reviewed April account activity ahead of travel. No issues noted.","2025-04-05",""
"N0330","CL000004","Confirmed incoming CHF wire of approximately CHF 2.3k from United Wealth Capital. Client satisfied with timing.","2025-04-19","TR00000891"
"N0331","CL000004","Follow-up on outgoing USD wire of approximately CHF 1.7k to Premier Group. Execution confirmed.","2025-02-14","TR00000844"
"N0332","CL000004","Client inquiry regarding April cash movements. Clarified and closed.","2025-04-30",""
"N0333","CL000004","Confirmed incoming USD wire of approximately CHF 5.7k from Premier Investments. Large inflow aligned with prior discussion.","2025-04-27","TR00000899"
"N0334","CL000004","Discussed May account activity and upcoming obligations.","2025-05-05",""
"N0335","CL000004","Confirmed incoming USD wire of approximately CHF 1.3k from Omega GmbH. Client acknowledged receipt.","2025-05-17","TR00000907"
"N0336","CL000004","Reviewed May debit of approximately CHF 3.3k related to Global Holdings. Client confirmed transaction purpose.","2025-05-15","TR00000904"
"N0337","CL000004","Confirmed receipt of CHF wire of approximately CHF 2.5k from Prime Partners. Routine confirmation.","2025-06-19","TR00000925"
"N0338","CL000004","Reviewed June outgoing CHF wire of approximately CHF 4.0k to Elite Group. Client confirmed beneficiary.","2025-06-15","TR00000931"
"N0339","CL000004","Client requested mid-year overview of inflows, outflows, and investment exposure.","2025-06-30",""
"N0340","CL000004","Telephone instruction received for early June USD cash inflow. Beneficiary: United Commerce Capital. Amount: approximately CHF 12.8k. Client authenticated via dual control.","2025-06-03","TR00000932"
"N0341","CL000004","Detailed review of late June EUR wire from Alpha Group. Amount: approximately CHF 1.3k, scheduled 27 Jun. Client requested email confirmation post-execution.","2025-06-27","TR00000919"
"N0342","CL000004","Confirmed July debit of approximately CHF 2.6k related to Global Investments. Client acknowledged execution.","2025-07-27","TR00000941"
"N0343","CL000004","Confirmed incoming USD wire of approximately CHF 2.9k from Prime Trade Partners. Client satisfied.","2025-07-22","TR00000952"
"N0344","CL000004","Discussed July account activity and travel plans. No action required.","2025-07-31",""
"N0345","CL000004","Confirmed outgoing CHF wire of approximately CHF 6.7k to Prime Wealth Investments. Client acknowledged.","2025-08-17","TR00000976"
"N0346","CL000004","Received standing instruction for CHF security credit from United AG. Scheduled for 16 Aug. Client confirmed via secure message.","2025-08-16","TR00000967"
"N0347","CL000004","Reviewed August activity ahead of month-end. No discrepancies identified.","2025-08-31",""
"N0348","CL000004","Confirmed incoming CHF wire of approximately CHF 5.3k from International AG. Client satisfied.","2025-09-11","TR00000998"
"N0349","CL000004","Client requested overview of September activity ahead of year-end planning.","2025-09-20",""
"N0350","CL000004","Confirmed incoming EUR cheque of approximately CHF 5.7k from Elite Trade Group. Booking confirmed.","2025-09-23","TR00000985"
