transaction_id,note_id,score
TR00000260,N0084,0.9845457625389099
TR00000260,N0085,0.6257711955479213
TR00000260,N0088,0.6225976126534598
TR00000261,N0088,0.6911059379577636
TR00000261,N0084,0.6268931525094168
TR00000261,N0090,0.6060577171189444
TR00000262,N0088,0.800314712524414
TR00000262,N0090,0.7140170114380973
TR00000262,N0089,0.6078250850949969
TR00000263,N0086,0.9835223388671874
TR00000263,N0125,0.5932574701309205
TR00000263,N0094,0.5816019228526524
TR00000264,N0088,1.0
TR00000264,N0090,0.6941534655434745
TR00000264,N0089,0.601031586102077
TR00000265,N0089,1.0
TR00000265,N0090,0.6704161545208522
TR00000265,N0091,0.6457907387188503
TR00000266,N0090,0.9710656595230103
TR00000266,N0126,0.7436997842788696
TR00000266,N0088,0.7299043791634695
TR00000267,N0090,0.863095064163208
TR00000267,N0089,0.8162705918720791
TR00000267,N0091,0.6966314315795898
TR00000268,N0091,1.0
TR00000268,N0094,0.6154475944382803
TR00000268,N0095,0.5437775611877441
TR00000269,N0089,0.7721797772816249
TR00000269,N0091,0.6113109128815787
TR00000269,N0090,0.5949505822999137
TR00000270,N0093,0.902866644859314
TR00000270,N0090,0.6133266108376639
TR00000270,N0088,0.5665878806795392
TR00000271,N0094,0.9933764171600341
TR00000271,N0091,0.6251520769936698
TR00000271,N0125,0.5734812299410502
TR00000272,N0095,0.9474517842701503
TR00000272,N0102,0.649872488634927
TR00000272,N0125,0.5654268145561218
TR00000273,N0107,0.5342011131559099
TR00000273,N0143,0.4081950902938843
TR00000273,N0139,0.4057896852493286
TR00000274,N0097,0.9849015665054321
TR00000274,N0108,0.5402543323380606
TR00000274,N0110,0.4675573468208313
TR00000275,N0099,0.6351526975631714
TR00000275,N0098,0.5713530012539455
TR00000275,N0110,0.5603982090950012
TR00000276,N0100,0.9849860739707947
TR00000276,N0097,0.720690507888794
TR00000276,N0118,0.5357076525688171
TR00000277,N0101,1.0
TR00000277,N0107,0.4946467365537371
TR00000277,N0100,0.4284388303756714
TR00000278,N0102,0.8982040357589721
TR00000278,N0100,0.545807877608708
TR00000278,N0103,0.5252006888389588
