transaction_id,note_id,score
TR00000526,N0205,0.7894994735717773
TR00000526,N0201,0.6711768456867763
TR00000526,N0202,0.6685386964253017
TR00000527,N0202,0.9881930303573608
TR00000527,N0201,0.8066304922103881
TR00000527,N0206,0.8049246331623622
TR00000528,N0205,0.6904399633407592
TR00000528,N0201,0.6626399108341763
TR00000528,N0202,0.6557114430836268
TR00000529,N0205,0.6638731479644775
TR00000529,N0207,0.6157730000359671
TR00000529,N0203,0.5799908876419066
TR00000530,N0208,0.7594599553516933
TR00000530,N0201,0.6571018014635358
TR00000530,N0202,0.648517552443913
TR00000531,N0205,0.5963791268212455
TR00000531,N0237,0.5665065288543701
TR00000531,N0222,0.5528709292411804
TR00000532,N0205,0.9788920593261718
TR00000532,N0207,0.7346253531319754
TR00000532,N0201,0.6648755141666958
TR00000533,N0205,0.6302333899906704
TR00000533,N0202,0.6097781555993216
TR00000533,N0201,0.5929059522492545
TR00000534,N0207,0.772477216379983
TR00000534,N0205,0.6819030012403215
TR00000534,N0206,0.6707084247044155
TR00000535,N0208,0.6677300998142788
TR00000535,N0205,0.655853315762111
TR00000535,N0209,0.5983044374556769
TR00000536,N0206,1.0
TR00000536,N0202,0.7943388482502528
TR00000536,N0201,0.7723020144871303
TR00000537,N0201,0.8008450031280517
TR00000537,N0202,0.8005177736282348
TR00000537,N0206,0.766381413596017
TR00000538,N0207,0.9967733097076417
TR00000538,N0205,0.7164979117257254
TR00000538,N0206,0.6872199892997741
TR00000539,N0205,0.6826460719108581
TR00000539,N0207,0.6159907954079764
TR00000539,N0203,0.5844866633415222
TR00000540,N0208,0.9980696749687195
TR00000540,N0202,0.7031634773526872
TR00000540,N0201,0.6987822140966142
TR00000541,N0213,0.5109977010318211
TR00000541,N0225,0.4709999275207519
TR00000541,N0212,0.4686651114055089
TR00000542,N0210,0.9668851327896117
TR00000542,N0214,0.6214310594967434
TR00000542,N0211,0.5872042128017971
TR00000543,N0213,0.6493000337055752
TR00000543,N0214,0.5890632765633719
TR00000543,N0211,0.47919249875204906
TR00000544,N0212,0.5273297807148525
TR00000544,N0225,0.46721011797587075
TR00000544,N0246,0.4617639183998108
TR00000545,N0213,0.6011259984970094
TR00000545,N0214,0.5419276799474444
TR00000545,N0211,0.457894263948713
TR00000546,N0214,0.8764200639724732
TR00000546,N0218,0.601586994443621
TR00000546,N0245,0.5536034059524536
TR00000547,N0216,1.0
TR00000547,N0212,0.5777442373548235
TR00000547,N0246,0.4474344491958618
TR00000548,N0217,0.9678981494903565
TR00000548,N0212,0.56209737437112
TR00000548,N0213,0.5335829496383667
TR00000549,N0227,0.5902406406402588
TR00000549,N0214,0.5249882136072431
TR00000549,N0229,0.46414420127868655
TR00000550,N0218,0.8109188032150269
TR00000550,N0211,0.6186541080474853
TR00000550,N0214,0.6038977711541312
TR00000551,N0212,0.7356188285918464
